"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LEC 2025 Winter","2025-01-18","Fnatic",1,0,1,30.1,2,19,0.11,0.7,-1.92,"-21.2%",15.7,-15.7,-2325,"0%","0%","0%",3,"0%","0%","0%","0%",,"0%","0%","51.1%","47.5%",3.25,0.93,1.46
"LEC 2025 Winter","2025-01-18","G2 Esports",1,0,1,37.7,13,22,0.59,0.93,-0.36,"-4.6%",46.8,-46.8,-186,"0%","0%","100%",6,"100%","50%","0%","20%","0%","0%","0%","49.4%","50.1%",3.27,1.19,1.57
"LEC 2025 Winter","2025-01-18","GiantX",1,1,0,33.1,19,5,3.8,0.72,0.73,"14.2%",34,66,-950,"100%","0%","0%",6,"0%","17%","0%","25%",,"100%","100%","52.1%","51.7%",3.35,1.03,1.72
"LEC 2025 Winter","2025-01-18","Karmine Corp",1,1,0,37.7,22,13,1.69,0.93,0.36,"4.6%",53.2,46.8,186,"100%","100%","0%",6,"0%","50%","100%","80%","100%","100%","100%","50.6%","49.9%",3.88,1.41,1.59
"LEC 2025 Winter","2025-01-18","Movistar KOI",1,1,0,30.1,19,2,9.5,0.7,1.92,"21.2%",84.3,15.7,2325,"100%","100%","100%",4,"100%","100%","100%","100%",,"100%","100%","48.9%","52.5%",3.52,1.53,1.83
"LEC 2025 Winter","2025-01-18","Rogue",1,1,0,38.7,11,3,3.67,0.36,-0.19,"8.8%",46.1,53.9,-1229,"0%","100%","0%",3,"0%","0%","100%","67%",,"100%","100%","49.5%","49.8%",3.56,1.16,1.83
"LEC 2025 Winter","2025-01-18","SK Gaming",1,0,1,33.1,5,19,0.26,0.72,-0.73,"-14.2%",66,-66,950,"0%","100%","100%",7,"100%","83%","100%","75%",,"0%","0%","47.9%","48.3%",3.02,1.12,0.88
"LEC 2025 Winter","2025-01-18","Team BDS",1,0,1,32.5,7,17,0.41,0.74,-0.81,"-14.1%",46.3,-46.3,-885,"100%","0%","0%",3,"0%","67%","100%","75%",,"0%","0%","50.7%","46.6%",3.17,1.17,1.66
"LEC 2025 Winter","2025-01-18","Team Heretics",1,0,1,38.7,3,11,0.27,0.36,0.19,"-8.8%",53.9,-53.9,1229,"100%","0%","100%",1,"100%","100%","0%","33%",,"0%","0%","50.5%","50.2%",3.77,1.42,1.52
"LEC 2025 Winter","2025-01-18","Team Vitality",1,1,0,32.5,17,7,2.43,0.74,0.81,"14.1%",53.7,46.3,885,"0%","100%","100%",5,"100%","33%","0%","25%",,"100%","100%","49.3%","53.4%",3.26,1.14,1.63
"LEC 2025 Winter","2025-01-19","Fnatic",2,1,1,29.4,31,28,1.11,1,0.76,"-1.9%",53,-3,661,"0%","0%","50%",4,"0%","25%","0%","29%",,"50%","50%","52.1%","55.0%",3.06,0.85,1.22
"LEC 2025 Winter","2025-01-19","G2 Esports",2,0,2,34.7,23,34,0.68,0.82,0.74,"-0.1%",69.8,-69.8,1720,"50%","50%","100%",7,"50%","50%","0%","30%","0%","0%","0%","49.7%","55.3%",2.77,0.96,1.37
"LEC 2025 Winter","2025-01-19","GiantX",2,2,0,46.2,46,32,1.44,0.84,0.2,"9.4%",25,75,-1603,"50%","0%","0%",4,"0%","8%","50%","56%","75%","100%","60%","52.3%","53.6%",3.4,1.04,1.81
"LEC 2025 Winter","2025-01-19","Karmine Corp",2,2,0,37.1,44,24,1.83,0.92,0.4,"6.6%",41.2,58.8,-224,"50%","50%","50%",6.5,"0%","50%","50%","73%","100%","50%","50%","51.6%","50.1%",3.95,1.33,1.7
"LEC 2025 Winter","2025-01-19","Movistar KOI",2,1,1,33.3,30,24,1.25,0.81,0.64,"6.3%",77.5,-27.5,1479,"100%","100%","50%",5,"100%","75%","100%","60%",,"100%","100%","48.1%","51.1%",3.44,1.52,1.95
"LEC 2025 Winter","2025-01-19","Rogue",2,1,1,49,38,31,1.23,0.69,-0.01,"2.1%",65.1,-15.1,514,"50%","100%","50%",5,"50%","50%","50%","45%","25%","50%","67%","48.5%","47.2%",3.78,1.1,1.7
"LEC 2025 Winter","2025-01-19","SK Gaming",2,0,2,33.5,11,38,0.29,0.72,-1.31,"-12.2%",39,-39,-866,"0%","50%","50%",7,"50%","67%","100%","63%",,"0%","0%","49.4%","49.3%",3.12,1.08,1.15
"LEC 2025 Winter","2025-01-19","Team BDS",2,1,1,32.1,19,27,0.7,0.72,-1.41,"-9.3%",26.7,23.3,-2255,"50%","0%","0%",2.5,"50%","58%","100%","67%",,"50%","50%","50.4%","43.1%",3.1,1.17,1.35
"LEC 2025 Winter","2025-01-19","Team Heretics",2,1,1,36.3,21,17,1.24,0.52,0.98,"0.7%",70.9,-20.9,1955,"100%","50%","100%",2,"100%","75%","0%","40%",,"50%","50%","49.8%","50.0%",3.67,1.36,1.53
"LEC 2025 Winter","2025-01-19","Team Vitality",2,1,1,30.6,26,36,0.72,1.01,-1.26,"-1.7%",31.8,18.2,-1381,"50%","100%","50%",3,"100%","42%","50%","29%",,"50%","50%","48.1%","45.5%",3.04,1.01,1.27
"LEC 2025 Winter","2025-01-20","Fnatic",3,2,1,28.1,51,32,1.59,0.98,1.85,"8.3%",67.4,-0.7,2144,"33%","33%","67%",6.3,"33%","50%","33%","50%",,"33%","50%","51.5%","58.4%",3.06,0.79,1.22
"LEC 2025 Winter","2025-01-20","G2 Esports",3,1,2,32.6,42,40,1.05,0.84,0.84,"5.8%",63.2,-29.9,686,"33%","67%","67%",7.3,"33%","50%","33%","50%","0%","33%","33%","50.6%","53.0%",2.87,0.97,1.28
"LEC 2025 Winter","2025-01-20","GiantX",3,3,0,43.3,57,34,1.68,0.7,1,"11.4%",44,56,-249,"67%","33%","33%",4.3,"33%","39%","33%","60%","75%","100%","71%","51.7%","54.9%",3.48,1.17,1.84
"LEC 2025 Winter","2025-01-20","Karmine Corp",3,2,1,37.2,46,35,1.31,0.73,-0.74,"-0.7%",33.4,33.2,-969,"33%","33%","33%",5.3,"0%","33%","67%","59%","100%","33%","25%","50.9%","47.6%",3.89,1.32,1.8
"LEC 2025 Winter","2025-01-20","Movistar KOI",3,2,1,34.6,45,36,1.25,0.78,0.84,"6.0%",69.2,-2.5,1484,"67%","100%","67%",5,"100%","78%","67%","56%",,"100%","100%","48.3%","53.5%",3.43,1.48,2.04
"LEC 2025 Winter","2025-01-20","Rogue",3,1,2,45.5,46,55,0.84,0.73,-0.42,"-2.1%",62.7,-29.4,366,"33%","67%","33%",4.3,"33%","50%","67%","41%","25%","33%","57%","48.7%","47.2%",3.77,1.17,1.66
"LEC 2025 Winter","2025-01-20","SK Gaming",3,0,3,31.8,17,57,0.3,0.77,-1.24,"-13.9%",42.7,-42.7,-116,"33%","33%","67%",6,"67%","61%","67%","42%",,"0%","0%","48.8%","50.1%",2.93,1.01,1.12
"LEC 2025 Winter","2025-01-20","Team BDS",3,2,1,34.3,43,35,1.23,0.76,-0.34,"-2.7%",31.8,34.8,-1527,"67%","33%","33%",2.3,"67%","56%","67%","67%",,"67%","67%","50.5%","46.3%",3.19,1.2,1.63
"LEC 2025 Winter","2025-01-20","Team Heretics",3,1,2,32.7,25,37,0.68,0.63,-0.42,"-9.1%",48.5,-15.2,-401,"67%","33%","67%",1.7,"67%","50%","0%","31%",,"33%","50%","49.7%","44.9%",3.44,1.25,1.46
"LEC 2025 Winter","2025-01-20","Team Vitality",3,1,2,32.8,38,52,0.73,0.9,-1.23,"-2.9%",37,-3.7,-1418,"67%","67%","33%",2.7,"67%","33%","67%","38%",,"33%","33%","49.1%","44.2%",3.28,1.22,1.36
"LEC 2025 Winter","2025-01-25","Fnatic",4,3,1,30.4,61,40,1.53,0.83,1.46,"6.2%",68.6,6.4,2050,"25%","50%","50%",6.3,"25%","50%","50%","50%",,"25%","50%","51.7%","57.0%",3.17,0.86,1.41
"LEC 2025 Winter","2025-01-25","G2 Esports",4,2,2,36.3,60,53,1.13,0.78,0.73,"5.3%",64,-14,549,"50%","50%","75%",6,"25%","42%","50%","45%","0%","25%","50%","50.4%","52.9%",2.99,1.03,1.42
"LEC 2025 Winter","2025-01-25","GiantX",4,3,1,42.4,73,49,1.49,0.72,0.81,"8.3%",50.1,24.9,78,"75%","25%","25%",3.8,"25%","46%","50%","50%","75%","100%","67%","51.1%","52.1%",3.43,1.2,1.82
"LEC 2025 Winter","2025-01-25","Karmine Corp",4,3,1,33.5,60,40,1.5,0.75,-0.36,"1.0%",41.4,33.6,-290,"25%","25%","50%",5.8,"25%","50%","50%","55%","100%","25%","25%","50.7%","49.1%",3.58,1.19,1.7
"LEC 2025 Winter","2025-01-25","Movistar KOI",4,3,1,35.9,60,52,1.15,0.78,0.56,"4.8%",59.8,15.2,848,"50%","100%","75%",4.5,"100%","67%","50%","62%",,"75%","80%","49.0%","54.1%",3.48,1.51,1.92
"LEC 2025 Winter","2025-01-25","Rogue",4,1,3,43.5,54,65,0.83,0.68,-0.45,"-1.6%",53.9,-28.9,-167,"50%","50%","50%",4,"50%","50%","50%","43%","25%","50%","56%","48.5%","47.1%",3.82,1.25,1.66
"LEC 2025 Winter","2025-01-25","SK Gaming",4,0,4,29.5,22,71,0.31,0.78,-1.3,"-11.9%",40.7,-40.7,-524,"50%","50%","50%",6.3,"50%","46%","75%","47%",,"0%","0%","49.1%","49.1%",2.96,1.08,1.14
"LEC 2025 Winter","2025-01-25","Team BDS",4,2,2,35.6,55,54,1.02,0.77,-0.06,"-3.5%",42.5,7.5,-712,"75%","50%","50%",3.8,"75%","67%","50%","57%",,"50%","50%","50.5%","46.3%",3.26,1.26,1.59
"LEC 2025 Winter","2025-01-25","Team Heretics",4,2,2,34.4,44,49,0.9,0.68,-0.49,"-5.4%",42.8,7.2,-734,"50%","25%","50%",1.5,"50%","38%","25%","42%",,"50%","60%","49.7%","47.1%",3.45,1.24,1.57
"LEC 2025 Winter","2025-01-25","Team Vitality",4,1,3,36.4,51,70,0.73,0.82,-1,"-3.1%",36.1,-11.1,-1098,"50%","75%","25%",2.8,"75%","46%","50%","47%","100%","50%","33%","49.5%","45.0%",3.33,1.27,1.39
"LEC 2025 Winter","2025-01-26","Fnatic",5,4,1,29.8,77,50,1.54,0.85,1.28,"6.1%",61.2,18.8,1380,"40%","60%","40%",6.2,"20%","53%","40%","50%",,"40%","60%","51.7%","56.6%",3.16,0.85,1.36
"LEC 2025 Winter","2025-01-26","G2 Esports",5,2,3,34.5,70,69,1.01,0.81,0.54,"3.1%",64.9,-24.9,699,"40%","40%","80%",6,"40%","40%","60%","46%","0%","20%","43%","49.9%","51.4%",2.93,1.02,1.43
"LEC 2025 Winter","2025-01-26","GiantX",5,4,1,39.9,89,54,1.65,0.72,0.97,"8.5%",56.4,23.6,425,"60%","40%","40%",3.8,"20%","47%","60%","56%","75%","100%","70%","51.1%","50.8%",3.32,1.18,1.77
"LEC 2025 Winter","2025-01-26","Karmine Corp",5,4,1,32.2,85,46,1.85,0.81,0.1,"3.5%",50.3,29.7,338,"20%","40%","60%",6.2,"40%","43%","60%","58%","100%","20%","25%","50.8%","52.1%",3.53,1.19,1.59
"LEC 2025 Winter","2025-01-26","Movistar KOI",5,4,1,34.7,76,57,1.33,0.77,0.82,"7.1%",63.6,16.4,1095,"60%","100%","80%",4.4,"100%","70%","60%","67%",,"80%","83%","49.1%","55.6%",3.44,1.48,2.02
"LEC 2025 Winter","2025-01-26","Rogue",5,1,4,40.2,60,90,0.67,0.74,-0.71,"-4.0%",45.9,-25.9,-704,"60%","40%","40%",4.2,"40%","57%","40%","41%","25%","40%","56%","48.6%","44.9%",3.7,1.22,1.54
"LEC 2025 Winter","2025-01-26","SK Gaming",5,0,5,29.9,34,85,0.4,0.79,-0.77,"-10.0%",47.4,-47.4,188,"60%","60%","60%",6.8,"60%","50%","60%","40%",,"0%","0%","49.3%","48.7%",3.03,1.12,1.25
"LEC 2025 Winter","2025-01-26","Team BDS",5,2,3,34.4,60,70,0.86,0.75,-0.42,"-6.1%",38.3,1.7,-986,"60%","40%","40%",3.2,"60%","57%","40%","50%",,"40%","40%","50.4%","44.8%",3.25,1.24,1.62
"LEC 2025 Winter","2025-01-26","Team Heretics",5,2,3,33.5,49,65,0.75,0.68,-0.74,"-6.2%",37.8,2.2,-949,"60%","20%","40%",1.2,"60%","40%","20%","38%",,"40%","50%","49.4%","48.6%",3.43,1.24,1.56
"LEC 2025 Winter","2025-01-26","Team Vitality",5,2,3,35.5,65,82,0.79,0.82,-1.04,"-2.1%",34.1,5.9,-1486,"40%","60%","20%",3,"60%","43%","60%","54%","100%","60%","43%","49.5%","46.5%",3.36,1.27,1.42
"LEC 2025 Winter","2025-01-27","Fnatic",6,5,1,32.1,93,63,1.48,0.81,0.95,"5.8%",56.3,27,913,"33%","50%","33%",5.8,"17%","53%","33%","52%",,"50%","57%","51.2%","57.0%",3.28,0.9,1.4
"LEC 2025 Winter","2025-01-27","G2 Esports",6,3,3,33.3,86,73,1.18,0.8,1.04,"6.5%",70.3,-20.3,1412,"33%","50%","83%",6.5,"50%","50%","67%","54%","0%","33%","50%","49.6%","53.8%",2.9,1.03,1.43
"LEC 2025 Winter","2025-01-27","GiantX",6,4,2,37.8,93,70,1.33,0.72,0.34,"3.2%",47.5,19.2,-476,"67%","33%","33%",3.5,"17%","39%","50%","48%","75%","83%","64%","51.3%","48.0%",3.28,1.17,1.65
"LEC 2025 Winter","2025-01-27","Karmine Corp",6,5,1,33,111,56,1.98,0.84,0.85,"6.1%",56,27.3,648,"33%","50%","67%",6.7,"50%","44%","50%","60%","100%","33%","40%","50.8%","53.2%",3.6,1.23,1.61
"LEC 2025 Winter","2025-01-27","Movistar KOI",6,5,1,33.5,93,58,1.6,0.75,1.03,"7.9%",67.2,16.2,1381,"67%","100%","83%",5.3,"100%","69%","67%","70%",,"83%","86%","49.4%","55.7%",3.43,1.5,1.92
"LEC 2025 Winter","2025-01-27","Rogue",6,1,5,39.3,68,108,0.63,0.74,-0.76,"-5.2%",46.5,-29.8,-712,"50%","33%","50%",4.5,"50%","56%","50%","42%","25%","33%","50%","48.7%","45.7%",3.61,1.21,1.5
"LEC 2025 Winter","2025-01-27","SK Gaming",6,0,6,29.6,35,102,0.34,0.77,-1.01,"-10.2%",42,-42,-311,"50%","50%","50%",6.7,"50%","47%","50%","35%",,"0%","0%","49.3%","48.0%",3.05,1.15,1.28
"LEC 2025 Winter","2025-01-27","Team BDS",6,2,4,36,73,86,0.85,0.74,-0.3,"-5.8%",43.3,-9.9,-584,"67%","50%","50%",3,"67%","56%","50%","48%",,"33%","43%","50.6%","44.1%",3.3,1.26,1.67
"LEC 2025 Winter","2025-01-27","Team Heretics",6,2,4,34.1,59,91,0.65,0.73,-1.34,"-8.3%",34.1,-0.8,-1157,"50%","17%","33%",2.2,"50%","42%","33%","37%",,"33%","43%","49.3%","47.5%",3.53,1.3,1.57
"LEC 2025 Winter","2025-01-27","Team Vitality",6,3,3,35.5,83,90,0.92,0.81,-0.7,"0.1%",36.8,13.2,-1113,"50%","67%","17%",3.7,"50%","44%","50%","53%","100%","67%","50%","49.7%","47.2%",3.34,1.25,1.42
"LEC 2025 Winter","2025-02-01","Fnatic",7,6,1,31.6,117,76,1.54,0.87,1.16,"7.3%",59.7,26,1009,"43%","43%","43%",6.4,"14%","52%","43%","58%",,"57%","63%","51.4%","57.3%",3.2,0.88,1.41
"LEC 2025 Winter","2025-02-01","G2 Esports",7,4,3,33.1,98,81,1.21,0.77,1.06,"6.2%",64.6,-7.4,1129,"43%","43%","86%",6.3,"57%","45%","71%","55%","0%","43%","56%","49.8%","54.6%",2.89,1.01,1.44
"LEC 2025 Winter","2025-02-01","GiantX",7,4,3,36.5,106,94,1.13,0.78,0.02,"0.3%",43.5,13.6,-635,"57%","43%","29%",4,"29%","40%","43%","42%","75%","71%","58%","50.8%","47.0%",3.27,1.15,1.55
"LEC 2025 Winter","2025-02-01","Karmine Corp",7,6,1,33.9,132,70,1.89,0.85,0.5,"6.0%",49.7,36.1,-20,"29%","43%","57%",6,"43%","40%","57%","63%","100%","29%","43%","50.9%","53.8%",3.63,1.24,1.67
"LEC 2025 Winter","2025-02-01","Movistar KOI",7,5,2,34.2,114,80,1.43,0.81,0.99,"6.6%",61.5,9.9,1133,"71%","100%","86%",4.9,"100%","69%","57%","69%",,"86%","78%","49.2%","54.4%",3.42,1.5,1.92
"LEC 2025 Winter","2025-02-01","Rogue",7,1,6,38.3,76,120,0.63,0.73,-0.81,"-5.1%",49.9,-35.6,-530,"43%","43%","43%",4.1,"43%","60%","43%","42%","25%","29%","45%","48.8%","44.9%",3.6,1.2,1.44
"LEC 2025 Winter","2025-02-01","SK Gaming",7,0,7,29.5,43,122,0.35,0.79,-1.29,"-11.1%",37.4,-37.4,-759,"57%","43%","43%",6,"43%","48%","57%","33%",,"0%","0%","49.2%","46.5%",3.08,1.18,1.25
"LEC 2025 Winter","2025-02-01","Team BDS",7,3,4,35,93,94,0.99,0.76,0.09,"-2.7%",49.9,-7,-8,"57%","57%","57%",3.3,"71%","55%","43%","51%",,"43%","50%","50.6%","46.7%",3.23,1.23,1.66
"LEC 2025 Winter","2025-02-01","Team Heretics",7,3,4,34.8,81,112,0.72,0.79,-1.25,"-7.0%",39.6,3.2,-942,"43%","14%","29%",2.4,"43%","40%","43%","37%",,"29%","44%","49.8%","48.2%",3.49,1.29,1.56
"LEC 2025 Winter","2025-02-01","Team Vitality",7,3,4,36,97,111,0.87,0.82,-0.39,"-0.7%",44.2,-1.4,-378,"57%","71%","29%",4,"57%","50%","43%","49%","50%","71%","50%","49.6%","46.4%",3.38,1.3,1.45
"LEC 2025 Winter","2025-02-02","Fnatic",8,7,1,31.1,143,81,1.77,0.9,1.43,"9.4%",64.4,23.1,1467,"50%","50%","50%",6.1,"25%","46%","50%","63%",,"63%","67%","51.3%","56.9%",3.15,0.86,1.36
"LEC 2025 Winter","2025-02-02","G2 Esports",8,5,3,32.7,122,90,1.36,0.81,1.14,"6.0%",61.2,1.3,964,"50%","38%","75%",6.4,"50%","52%","63%","57%","0%","50%","60%","49.8%","54.2%",2.9,1.03,1.45
"LEC 2025 Winter","2025-02-02","GiantX",8,5,3,37.1,124,107,1.16,0.78,0.43,"1.8%",48,14.5,-188,"63%","50%","38%",3.9,"38%","44%","38%","41%","75%","75%","64%","50.5%","48.0%",3.26,1.16,1.57
"LEC 2025 Winter","2025-02-02","Karmine Corp",8,6,2,33.1,137,96,1.43,0.88,0.07,"2.3%",43.8,31.2,-602,"25%","38%","50%",5.5,"38%","48%","50%","56%","100%","25%","38%","50.6%","52.9%",3.53,1.21,1.59
"LEC 2025 Winter","2025-02-02","Movistar KOI",8,5,3,33.6,123,104,1.18,0.84,0.69,"5.2%",61.7,0.8,1016,"63%","100%","88%",4.8,"100%","60%","63%","64%",,"75%","70%","49.3%","53.7%",3.44,1.45,1.82
"LEC 2025 Winter","2025-02-02","Rogue",8,1,7,37.4,79,133,0.59,0.71,-0.85,"-4.9%",47.3,-34.8,-595,"50%","38%","38%",4.1,"38%","60%","38%","38%","25%","25%","42%","49.0%","44.8%",3.62,1.19,1.42
"LEC 2025 Winter","2025-02-02","SK Gaming",8,1,7,29.7,56,125,0.45,0.76,-0.97,"-9.2%",41.6,-29.1,-533,"50%","50%","50%",5.9,"50%","46%","63%","42%",,"13%","13%","49.3%","47.7%",3.13,1.21,1.3
"LEC 2025 Winter","2025-02-02","Team BDS",8,3,5,35.8,106,112,0.95,0.76,-0.35,"-3.9%",46.2,-8.7,-375,"50%","50%","50%",3.1,"63%","52%","50%","54%",,"38%","40%","50.7%","46.5%",3.25,1.24,1.62
"LEC 2025 Winter","2025-02-02","Team Heretics",8,3,5,34.5,84,125,0.67,0.76,-1.42,"-7.1%",37.7,-0.2,-1003,"38%","13%","25%",2.3,"38%","40%","38%","33%",,"25%","40%","49.7%","47.6%",3.45,1.27,1.59
"LEC 2025 Winter","2025-02-02","Team Vitality",8,4,4,35.6,110,114,0.96,0.78,-0.04,"0.4%",48.1,1.9,-152,"63%","75%","38%",4,"63%","52%","50%","54%","50%","75%","55%","49.8%","47.8%",3.38,1.29,1.45
"LEC 2025 Winter","2025-02-03","Fnatic",9,8,1,30.9,164,84,1.95,0.89,1.61,"11.2%",67.1,21.8,1590,"44%","44%","56%",6.2,"33%","44%","56%","67%",,"67%","70%","51.3%","57.2%",3.13,0.86,1.38
"LEC 2025 Winter","2025-02-03","G2 Esports",9,6,3,32.1,143,98,1.46,0.83,1.24,"6.8%",63.2,3.5,1206,"44%","44%","78%",6.4,"44%","50%","56%","55%","0%","44%","60%","50.0%","53.6%",2.9,1.02,1.45
"LEC 2025 Winter","2025-02-03","GiantX",9,5,4,36.5,133,126,1.06,0.79,0.16,"-0.7%",46.7,8.9,-381,"56%","44%","33%",3.7,"44%","44%","44%","42%","75%","67%","60%","50.5%","47.1%",3.2,1.13,1.56
"LEC 2025 Winter","2025-02-03","Karmine Corp",9,6,3,32.6,142,114,1.25,0.87,-0.02,"1.9%",42.7,23.9,-535,"22%","44%","56%",5.3,"33%","46%","44%","51%","100%","22%","33%","50.5%","52.2%",3.48,1.19,1.55
"LEC 2025 Winter","2025-02-03","Movistar KOI",9,6,3,33.5,148,114,1.3,0.87,0.89,"6.4%",63.8,2.9,1236,"67%","100%","89%",5,"100%","57%","56%","63%",,"78%","73%","49.4%","54.4%",3.44,1.4,1.85
"LEC 2025 Winter","2025-02-03","Rogue",9,1,8,36.8,89,158,0.56,0.74,-1.02,"-6.1%",44.2,-33.1,-861,"44%","33%","33%",4,"33%","61%","44%","39%","25%","22%","38%","49.1%","44.2%",3.62,1.19,1.41
"LEC 2025 Winter","2025-02-03","SK Gaming",9,1,8,29.6,59,146,0.4,0.77,-1.19,"-11.1%",38.3,-27.2,-760,"56%","56%","44%",6.2,"44%","48%","56%","37%",,"11%","11%","49.3%","46.9%",3.15,1.21,1.25
"LEC 2025 Winter","2025-02-03","Team BDS",9,4,5,35.1,124,117,1.06,0.76,-0.24,"-3.3%",48.4,-3.9,-332,"56%","44%","44%",3.1,"67%","54%","56%","58%",,"44%","45%","50.7%","47.3%",3.26,1.23,1.61
"LEC 2025 Winter","2025-02-03","Team Heretics",9,3,6,33.8,92,146,0.63,0.78,-1.5,"-7.7%",35.9,-2.5,-1241,"44%","11%","22%",2.2,"44%","43%","44%","36%",,"22%","40%","49.5%","47.9%",3.42,1.27,1.54
"LEC 2025 Winter","2025-02-03","Team Vitality",9,5,4,35.1,129,123,1.05,0.79,0.2,"2.7%",49.9,5.7,79,"67%","78%","44%",4.3,"56%","52%","44%","53%","50%","78%","58%","49.8%","49.2%",3.35,1.28,1.41
"LEC 2025 Winter Playoffs","2025-02-15","Fnatic",2,2,0,29.8,35,11,3.18,0.77,1.55,"13.5%",75.6,24.4,1918,"100%","50%","50%",5.5,"100%","50%","50%","75%",,"50%","100%","50.7%","50.9%",3.14,0.91,1.26
"LEC 2025 Winter Playoffs","2025-02-15","G2 Esports",2,2,0,36.5,28,23,1.22,0.7,1.14,"4.0%",72.4,27.6,1534,"50%","0%","100%",8,"50%","25%","100%","70%",,"50%","100%","50.5%","55.0%",3.11,1.07,1.95
"LEC 2025 Winter Playoffs","2025-02-15","GiantX",2,0,2,36.5,23,28,0.82,0.7,-1.14,"-4.0%",27.6,-27.6,-1534,"50%","100%","0%",4.5,"50%","75%","0%","30%",,"0%","0%","49.5%","45.0%",3.41,1.29,1.76
"LEC 2025 Winter Playoffs","2025-02-15","Team Heretics",2,0,2,29.8,11,35,0.31,0.77,-1.55,"-13.5%",24.4,-24.4,-1918,"0%","50%","50%",5.5,"0%","50%","50%","25%",,"0%","0%","49.3%","49.1%",2.82,1.19,1.21
"LEC 2025 Winter Playoffs","2025-02-16","Fnatic",2,2,0,29.8,35,11,3.18,0.77,1.55,"13.5%",75.6,24.4,1918,"100%","50%","50%",5.5,"100%","50%","50%","75%",,"50%","100%","50.7%","50.9%",3.14,0.91,1.26
"LEC 2025 Winter Playoffs","2025-02-16","G2 Esports",2,2,0,36.5,28,23,1.22,0.7,1.14,"4.0%",72.4,27.6,1534,"50%","0%","100%",8,"50%","25%","100%","70%",,"50%","100%","50.5%","55.0%",3.11,1.07,1.95
"LEC 2025 Winter Playoffs","2025-02-16","GiantX",2,0,2,36.5,23,28,0.82,0.7,-1.14,"-4.0%",27.6,-27.6,-1534,"50%","100%","0%",4.5,"50%","75%","0%","30%",,"0%","0%","49.5%","45.0%",3.41,1.29,1.76
"LEC 2025 Winter Playoffs","2025-02-16","Karmine Corp",2,2,0,38.8,43,28,1.54,0.92,2.41,"11.5%",92.2,7.8,4301,"100%","100%","100%",9,"100%","92%","0%","78%","100%","50%","100%","49.3%","57.3%",3.21,1.16,1.7
"LEC 2025 Winter Playoffs","2025-02-16","Movistar KOI",2,2,0,35.8,44,25,1.76,0.96,1.42,"15.6%",57.2,42.8,1254,"50%","50%","50%",7.5,"50%","67%","100%","64%",,"100%","100%","50.8%","59.8%",4.04,1.72,1.85
"LEC 2025 Winter Playoffs","2025-02-16","Team BDS",2,0,2,35.8,25,44,0.57,0.96,-1.42,"-15.6%",42.8,-42.8,-1254,"50%","50%","50%",5,"50%","33%","0%","36%",,"0%","0%","49.2%","40.2%",3.26,1.21,1.63
"LEC 2025 Winter Playoffs","2025-02-16","Team Heretics",2,0,2,29.8,11,35,0.31,0.77,-1.55,"-13.5%",24.4,-24.4,-1918,"0%","50%","50%",5.5,"0%","50%","50%","25%",,"0%","0%","49.3%","49.1%",2.82,1.19,1.21
"LEC 2025 Winter Playoffs","2025-02-16","Team Vitality",2,0,2,38.8,28,43,0.65,0.92,-2.41,"-11.5%",7.8,-7.8,-4301,"0%","0%","0%",2,"0%","8%","100%","22%","0%","0%","0%","50.7%","42.7%",3.25,1.3,1.67
"LEC 2025 Winter Playoffs","2025-02-17","Fnatic",4,2,2,33.7,65,62,1.05,0.94,0.57,"4.4%",63.2,-13.2,1114,"75%","75%","50%",4.8,"100%","67%","50%","53%",,"50%","67%","49.4%","50.5%",3.18,0.94,1.23
"LEC 2025 Winter Playoffs","2025-02-17","G2 Esports",4,4,0,37,79,53,1.49,0.89,0.67,"4.4%",60.8,39.2,612,"50%","0%","75%",5.3,"25%","21%","75%","67%",,"25%","75%","51.2%","52.4%",3.16,1,1.62
"LEC 2025 Winter Playoffs","2025-02-17","GiantX",2,0,2,36.5,23,28,0.82,0.7,-1.14,"-4.0%",27.6,-27.6,-1534,"50%","100%","0%",4.5,"50%","75%","0%","30%",,"0%","0%","49.5%","45.0%",3.41,1.29,1.76
"LEC 2025 Winter Playoffs","2025-02-17","Karmine Corp",4,4,0,33.8,70,33,2.12,0.76,1.92,"10.5%",75.8,24.2,2187,"75%","75%","75%",6.5,"75%","63%","50%","88%","100%","50%","80%","49.9%","56.7%",3.35,1.2,1.73
"LEC 2025 Winter Playoffs","2025-02-17","Movistar KOI",4,2,2,32.3,49,53,0.92,0.78,0.23,"3.0%",48.9,1.1,590,"50%","50%","50%",4.8,"50%","67%","50%","37%",,"75%","80%","50.1%","51.8%",3.93,1.63,1.82
"LEC 2025 Winter Playoffs","2025-02-17","Team BDS",2,0,2,35.8,25,44,0.57,0.96,-1.42,"-15.6%",42.8,-42.8,-1254,"50%","50%","50%",5,"50%","33%","0%","36%",,"0%","0%","49.2%","40.2%",3.26,1.21,1.63
"LEC 2025 Winter Playoffs","2025-02-17","Team Heretics",2,0,2,29.8,11,35,0.31,0.77,-1.55,"-13.5%",24.4,-24.4,-1918,"0%","50%","50%",5.5,"0%","50%","50%","25%",,"0%","0%","49.3%","49.1%",2.82,1.19,1.21
