tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LPL 2025 Split 3  LNG Esports vs LGD Gaming	LNG Esports	2   0	LGD Gaming	WEEK4	15.15	2025-08-07
LPL 2025 Split 3  AL vs IG	Invictus Gaming	2   0	Anyone s Legend	WEEK4	15.15	2025-08-06
LPL 2025 Split 3  JD Gaming vs BLG	Bilibili Gaming	2   1	JD Gaming	WEEK4	15.15	2025-08-06
LPL 2025 Split 3  AL vs Top Esports	Top Esports	2   1	Anyone s Legend	WEEK4	15.15	2025-08-05
LPL 2025 Split 3  TT vs NIP	Ninjas in Pyjamas	2   1	TT	WEEK4	15.15	2025-08-05
LPL 2025 Split 3  Team WE vs FPX	Team WE	2   1	Funplus Phoenix	WEEK4	15.15	2025-08-04
LPL 2025 Split 3  BLG vs Top Esports	Bilibili Gaming	2   0	Top Esports	WEEK3	15.14	2025-08-03
LPL 2025 Split 3  LNG Esports vs EDG	LNG Esports	0   2	Edward Gaming	WEEK3	15.14	2025-08-03
LPL 2025 Split 3  JD Gaming vs AL	JD Gaming	0   2	Anyone s Legend	WEEK3	15.14	2025-08-02
LPL 2025 Split 3  Ultra Prime vs LNG Esports	LNG Esports	1   2	Ultra Prime	WEEK3	15.14	2025-08-02
LPL 2025 Split 3  TT vs LGD Gaming	TT	0   2	LGD Gaming	WEEK3	15.14	2025-08-02
LPL 2025 Split 3  WBG vs IG	Invictus Gaming	2   0	Weibo Gaming	WEEK3	15.14	2025-08-01
LPL 2025 Split 3  JD Gaming vs FPX	Funplus Phoenix	0   2	JD Gaming	WEEK3	15.14	2025-08-01
LPL 2025 Split 3  WBG vs BLG	Weibo Gaming	0   2	Bilibili Gaming	WEEK3	15.14	2025-07-31
LPL 2025 Split 3  Team WE vs Top Esports	Top Esports	2   1	Team WE	WEEK3	15.14	2025-07-31
LPL 2025 Split 3  Team WE vs AL	Anyone s Legend	2   1	Team WE	WEEK3	15.14	2025-07-30
LPL 2025 Split 3  IG vs FPX	Funplus Phoenix	2   0	Invictus Gaming	WEEK3	15.14	2025-07-29
LPL 2025 Split 3  Ultra Prime vs LGD Gaming	Ultra Prime	1   2	LGD Gaming	WEEK3	15.14	2025-07-29
LPL 2025 Split 3  JD Gaming vs Top Esports	Top Esports	2   0	JD Gaming	WEEK3	15.14	2025-07-28
LPL 2025 Split 3  LGD Gaming vs EDG	LGD Gaming	0   2	Edward Gaming	WEEK3	15.14	2025-07-28
LPL 2025 Split 3  WBG vs AL	Anyone s Legend	1   2	Weibo Gaming	WEEK2	15.14	2025-07-27
LPL 2025 Split 3  BLG vs FPX	Bilibili Gaming	2   0	Funplus Phoenix	WEEK2	15.14	2025-07-27
LPL 2025 Split 3  JD Gaming vs Team WE	JD Gaming	2   1	Team WE	WEEK2	15.14	2025-07-26
LPL 2025 Split 3  AL vs BLG	Anyone s Legend	1   2	Bilibili Gaming	WEEK2	15.14	2025-07-26
LPL 2025 Split 3  Ultra Prime vs NIP	Ninjas in Pyjamas	2   1	Ultra Prime	WEEK2	15.14	2025-07-26
LPL 2025 Split 3  LNG Esports vs LGD Gaming	LGD Gaming	2   1	LNG Esports	WEEK2	15.14	2025-07-25
LPL 2025 Split 3  NIP vs EDG	Edward Gaming	2   0	Ninjas in Pyjamas	WEEK2	15.14	2025-07-25
LPL 2025 Split 3  LNG Esports vs TT	TT	2   0	LNG Esports	WEEK2	15.14	2025-07-24
LPL 2025 Split 3  JD Gaming vs IG	JD Gaming	0   2	Invictus Gaming	WEEK2	15.14	2025-07-24
LPL 2025 Split 3  WBG vs Team WE	Team WE	1   2	Weibo Gaming	WEEK2	15.14	2025-07-23
LPL 2025 Split 3  FPX vs Top Esports	Funplus Phoenix	0   2	Top Esports	WEEK2	15.14	2025-07-23
LPL 2025 Split 3  Team WE vs IG	Invictus Gaming	2   0	Team WE	WEEK2	15.14	2025-07-22
LPL 2025 Split 3  LGD Gaming vs NIP	LGD Gaming	1   2	Ninjas in Pyjamas	WEEK2	15.14	2025-07-22
LPL 2025 Split 3  LNG Esports vs NIP	LNG Esports	0   2	Ninjas in Pyjamas	WEEK2	15.14	2025-07-21
LPL 2025 Split 3  Ultra Prime vs TT	Ultra Prime	1   2	TT	WEEK2	15.14	2025-07-21
LPL 2025 Split 3  WBG vs Top Esports	Weibo Gaming	1   2	Top Esports	WEEK1	15.14	2025-07-20
LPL 2025 Split 3  TT vs EDG	Edward Gaming	2   0	TT	WEEK1	15.14	2025-07-20
LPL 2025 Split 3  IG vs Top Esports	Top Esports	2   1	Invictus Gaming	WEEK1	15.14	2025-07-19
LPL 2025 Split 3  WBG vs FPX	Weibo Gaming	2   1	Funplus Phoenix	WEEK1	15.14	2025-07-19
LPL 2025 Split 3  Ultra Prime vs EDG	Edward Gaming	2   0	Ultra Prime	WEEK1	15.14	2025-07-19
LPL 2025 Split 2 Playoffs   AL vs BLG	Anyone s Legend	3   1	Bilibili Gaming	FINALS	15.11	2025-06-14
LPL 2025 Split 2 Playoffs   BLG vs IG	Bilibili Gaming	3   1	Invictus Gaming	ROUND4	15.11	2025-06-13
LPL 2025 Split 2 Playoffs   IG vs Team WE	Team WE	0   3	Invictus Gaming	ROUND3	15.11	2025-06-11
LPL 2025 Split 2 Playoffs   BLG vs AL	Anyone s Legend	3   2	Bilibili Gaming	ROUND4	15.11	2025-06-09
LPL 2025 Split 2 Playoffs   Top Esports vs Team WE	Top Esports	2   3	Team WE	ROUND2	15.11	2025-06-08
LPL 2025 Split 2 Playoffs   WBG vs IG	Weibo Gaming	1   3	Invictus Gaming	ROUND2	15.11	2025-06-07
